"%name,","%name,"
"Order is not shipped with Bookurier.","Comanda nu este expediată cu Bookurier."
"Order no longer exists.","Comanda nu mai există."
"Order status updated to Pending Bookurier AWB.","Statusul comenzii a fost actualizat la AWB Bookurier în așteptare."
"Order tracking","Urmărirea comenzii"
"Our hours are <span class=""no-link"">%store_hours</span>.","Programul nostru este <span class=""no-link"">%store_hours</span>."
"PDF","PDF"
"Payment Method","Metodă de plată"
"Pending Bookurier AWB","AWB Bookurier în așteptare"
"Price","Preț"
"Print AWB","Imprimă AWB"
"Print AWB Format","Format imprimare AWB"
"Print AWB Mode","Mod imprimare AWB"
"Print Bookurier AWB","Imprimă AWB Bookurier"
"Print Bookurier AWB for selected orders?","Imprimați AWB Bookurier pentru comenzile selectate?"
"Processed %1 order(s) for Bookurier AWB creation.","S-au procesat %1 comandă/comenzi pentru crearea AWB Bookurier."
"Qty","Cant."
"Queued %1 shipment(s) for AWB creation. Make sure Magento cron is configured.","S-au pus în coadă %1 livrare/livrări pentru crearea AWB. Asigurați-vă că cron Magento este configurat."
"Queued for Bookurier AWB creation.","Pus în coadă pentru crearea AWB Bookurier."
"Ref1","Ref1"
"Ref2","Ref2"
"Region ID is required. Pass --region-id or configure a matching --region name.","ID-ul regiunii este obligatoriu. Furnizați --region-id sau configurați un nume --region corespunzător."
"Return Documents","Retur documente"
"Return Value","Valoare retur"
"Return a simulated success response without calling Bookurier.","Returnează un răspuns de succes simulat fără apel către Bookurier."
"Selected shipment does not belong to this order.","Livrarea selectată nu aparține acestei comenzi."
"Send Magento shipment email when a Bookurier AWB is attached to a shipment.","Trimite emailul Magento de livrare când un AWB Bookurier este atașat unei livrări."
"Service","Serviciu"
"Ship to Applicable Countries","Livrează în țările aplicabile"
"Ship to Specific Countries","Livrează în țări specifice"
"Shipment","Livrare"
"Shipment #","Livrare #"
"Shipment #%1 already has a Bookurier AWB.","Livrarea #%1 are deja un AWB Bookurier."
"Shipment %1","Livrare %1"
"Shipment %1 (ID: %2)","Livrare %1 (ID: %2)"
"Shipment no longer exists for this order.","Livrarea nu mai există pentru această comandă."
"Shipment no longer exists.","Livrarea nu mai există."
"Shipped By","Expediat prin"
"Shipping Info","Informații livrare"
"Shipping Method","Metodă de livrare"
"Show Method if Not Applicable","Afișează metoda dacă nu este aplicabilă"
"Skipped %1 order(s): %2","S-au omis %1 comandă/comenzi: %2"
"Skipped %1 shipment(s): %2","S-au omis %1 livrare/livrări: %2"
"Skipped orders (no Bookurier AWB):","Comenzi omise (fără AWB Bookurier):"
"Sort Order","Ordine sortare"
"Thank you for your order from %store_name.","Vă mulțumim pentru comanda de la %store_name."
"There are no shipments eligible for AWB creation on this order.","Nu există livrări eligibile pentru crearea AWB la această comandă."
"There is no tracking available for this shipment.","Nu există informații de urmărire disponibile pentru această livrare."
"There is no tracking available.","Nu există informații de urmărire disponibile."
"Title","Titlu"
"Track:","Urmărire:"
"Tracking Number","Număr de urmărire"
"Tracking Number:","Număr de urmărire:"
"Tracking Url","URL urmărire"
"Tracking data not available in cache.","Datele de urmărire nu sunt disponibile în cache."
"Tracking information is currently not available.","Informațiile de urmărire nu sunt disponibile momentan."
"Tracking information is currently not available. Please ","Informațiile de urmărire nu sunt disponibile momentan. Vă rugăm "
"Unable to determine destination country for shipment #%1.","Nu se poate determina țara de destinație pentru livrarea #%1."
"Unable to validate Bookurier AWB selection. Please try again.","Nu se poate valida selecția AWB Bookurier. Încercați din nou."
"Unpack","Despachetare"
"Unsupported page value. Use 0 (default layout) or 1 (one AWB per page).","Valoare pagină neacceptată. Folosiți 0 (layout implicit) sau 1 (un AWB pe pagină)."
"View Tracking","Vezi urmărirea"
"Weekend Delivery","Livrare în weekend"
"Weight (kg)","Greutate (kg)"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puteți verifica statusul comenzii <a href=""%account_url"">autentificându-vă în cont</a>."
"You can select up to %1 orders at a time.","Puteți selecta cel mult %1 comenzi odată."
"Your shipments for Order #%order_id","Livrările dvs. pentru comanda #%order_id"
"Your shipments for Order #%order_id from %store_name","Livrările dvs. pentru comanda #%order_id de la %store_name"
"Your shipping confirmation is below. Thank you again for your business.","Confirmarea livrării este mai jos. Vă mulțumim încă o dată pentru comandă."
"already has AWB","are deja AWB"
"already queued","deja în coadă"
"contact us","contactați-ne"
"destination country not allowed","țara de destinație nu este permisă"
"email us at ","scrieți-ne la "
"invalid order","comandă invalidă"
"invalid shipment","livrare invalidă"
"multiple","multiplu"
"no details available","nu sunt disponibile detalii"
"not Bookurier shipping","nu este livrare Bookurier"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","sau sunați-ne la <a href=""tel:%store_phone"">%store_phone</a>"
"single","singular"
"Not Bookurier shipping.","Nu este livrare Bookurier."
"No shipment.","Fără livrare."
"Not eligible for AWB creation.","Neeligibil pentru crearea AWB."
